Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,630000000
Stop Frequency,650000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
630000000,-100.129599490415
630020000,-100.57987816573
630040000,-100.288504180798
630060000,-101.832232054648
630080000,-100.584427144416
630100000,-101.053509290951
630120000,-101.093864749644
630140000,-100.728031281885
630160000,-100.071583282498
630180000,-99.8360350496335
630200000,-100.166099757488
630220000,-101.635669909334
630240000,-100.361875848308
630260000,-100.427994137178
630280000,-100.440021798706
630300000,-99.7013062552232
630320000,-100.451780368265
630340000,-99.9427991105746
630360000,-99.6516514462586
630380000,-101.137535542543
630400000,-101.824771903327
630420000,-100.513125719192
630440000,-101.231914945925
630460000,-101.361780208441
630480000,-101.041682365265
630500000,-100.232467949745
630520000,-99.0399607101424
630540000,-101.065789217226
630560000,-100.415206693816
630580000,-102.176956761554
630600000,-100.963910926005
630620000,-100.900215481265
630640000,-101.124682761474
630660000,-100.412616470584
630680000,-100.713542399065
630700000,-100.570276397576
630720000,-99.647279292114
630740000,-99.2364457417758
630760000,-100.346863935299
630780000,-101.074253345458
630800000,-99.5953185056326
630820000,-100.09378461221
630840000,-100.700865754652
630860000,-100.013392970754
630880000,-101.079697504112
630900000,-101.916644952705
630920000,-101.285280821646
630940000,-100.800610170177
630960000,-100.766921067174
630980000,-100.955403369361
631000000,-100.87537512013
631020000,-100.353587887556
631040000,-101.438450711466
631060000,-102.025879680377
631080000,-101.984439096258
631100000,-100.353039601121
631120000,-100.07237812537
631140000,-100.8178920449
631160000,-99.9477596634407
631180000,-100.995204145424
631200000,-102.629686586488
631220000,-99.7332302853608
631240000,-100.113406149717
631260000,-100.00501238322
631280000,-100.818101866825
631300000,-100.966808320663
631320000,-100.358623192743
631340000,-100.760054334998
631360000,-101.829583937142
631380000,-100.979292329728
631400000,-101.251777300737
631420000,-100.502462408382
631440000,-100.414663817985
631460000,-102.130697121192
631480000,-100.727617407994
631500000,-99.8119380024653
631520000,-100.73603774846
631540000,-100.724339465359
631560000,-100.020854497844
631580000,-100.958948401959
631600000,-101.086512738206
631620000,-100.774751037738
631640000,-100.36831187937
631660000,-101.206786992125
631680000,-100.887160650234
631700000,-101.53216935599
631720000,-99.9116521104965
631740000,-99.8533506404492
631760000,-101.060822658345
631780000,-101.526774036352
631800000,-100.623655425039
631820000,-100.153110952049
631840000,-99.6216296530693
631860000,-101.520190533478
631880000,-102.128007217924
631900000,-101.513881173821
631920000,-101.114986036003
631940000,-100.99842586726
631960000,-100.702619770254
631980000,-100.968409423025
632000000,-99.5551641421362
632020000,-101.731684459701
632040000,-100.607092265098
632060000,-100.619930908835
632080000,-100.229371913724
632100000,-101.044705743443
632120000,-101.319812261593
632140000,-101.830254500792
632160000,-101.805976563424
632180000,-101.493366160644
632200000,-100.24442964733
632220000,-100.909826068622
632240000,-100.181426973241
632260000,-101.147056552362
632280000,-99.7197793932512
632300000,-99.8563022539016
632320000,-101.961286396603
632340000,-100.97514583914
632360000,-100.173909225351
632380000,-100.593974098365
632400000,-100.967360344226
632420000,-101.798046255764
632440000,-101.290913283108
632460000,-101.626824606889
632480000,-101.63849392744
632500000,-101.910356516754
632520000,-100.895869302074
632540000,-99.8293660657045
632560000,-101.44794948346
632580000,-102.004749728938
632600000,-102.57601563382
632620000,-99.9546897621429
632640000,-100.172480584166
632660000,-100.075157667825
632680000,-100.841681684586
632700000,-100.433960042725
632720000,-101.873391832475
632740000,-100.476347335717
632760000,-101.042785067447
632780000,-101.958831571505
632800000,-101.158669980645
632820000,-100.959446206728
632840000,-101.558549547438
632860000,-101.015940818147
632880000,-100.35166589744
632900000,-99.7093063564292
632920000,-100.721954043627
632940000,-102.027479468618
632960000,-100.435497480854
632980000,-100.991882805202
633000000,-102.073086779146
633020000,-101.427332428888
633040000,-101.383477758193
633060000,-101.322592461108
633080000,-100.52959768977
633100000,-100.104166459668
633120000,-100.247629819224
633140000,-100.386378165937
633160000,-100.427752067403
633180000,-100.022387931964
633200000,-102.377814696866
633220000,-100.607718383922
633240000,-100.556093372061
633260000,-100.838404429836
633280000,-101.217542991367
633300000,-100.310029988083
633320000,-101.170420480536
633340000,-100.863939594452
633360000,-101.093593388789
633380000,-100.154112598426
633400000,-99.9771814052338
633420000,-99.9978092501884
633440000,-100.841791497945
633460000,-100.126386977961
633480000,-101.296572674289
633500000,-100.849999326597
633520000,-100.322176877583
633540000,-100.814023106128
633560000,-101.30734041868
633580000,-100.620735197145
