Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,70000000
Stop Frequency,90000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
70000000,-103.439531162455
70020000,-102.990661469586
70040000,-103.084179561642
70060000,-102.759546426329
70080000,-102.738175479502
70100000,-102.887943828671
70120000,-101.658126262049
70140000,-103.818812437368
70160000,-102.553262918368
70180000,-102.509887734159
70200000,-102.917608708208
70220000,-102.647719560547
70240000,-102.507183498095
70260000,-103.455351821428
70280000,-103.178304667532
70300000,-102.932375030387
70320000,-102.786029822482
70340000,-103.913349311726
70360000,-103.168730434325
70380000,-102.022288934779
70400000,-103.248929674342
70420000,-102.803065404483
70440000,-102.527836886474
70460000,-102.116592331328
70480000,-101.752382274346
70500000,-102.948987796117
70520000,-102.742904391863
70540000,-102.87859952768
70560000,-103.453625137487
70580000,-102.291570357253
70600000,-104.132325612125
70620000,-102.613385986761
70640000,-102.896451134357
70660000,-103.029007124828
70680000,-102.679173059295
70700000,-102.967986078622
70720000,-102.559956977543
70740000,-102.739675986385
70760000,-102.993606263532
70780000,-103.071948039353
70800000,-102.914973390116
70820000,-102.4919696858
70840000,-103.059838209182
70860000,-103.568314628001
70880000,-102.339038365204
70900000,-102.255985273051
70920000,-102.938043578897
70940000,-102.583992440649
70960000,-103.727454534601
70980000,-103.032596395424
71000000,-102.330799538253
71020000,-102.612002033887
71040000,-103.112029881799
71060000,-102.502607442765
71080000,-102.302332976846
71100000,-102.791122464549
71120000,-102.539033849366
71140000,-103.13381173563
71160000,-103.307374142408
71180000,-102.816976223224
71200000,-102.491553099244
71220000,-102.867263104892
71240000,-102.571845073347
71260000,-102.594341640968
71280000,-102.48710801673
71300000,-102.613973073301
71320000,-102.916231193798
71340000,-102.399998314483
71360000,-102.660849070504
71380000,-103.626045751134
71400000,-103.099702044623
71420000,-102.734074197129
71440000,-102.948904808003
71460000,-102.306107891474
71480000,-102.116137166612
71500000,-103.389949398395
71520000,-102.708919136413
71540000,-103.022562221962
71560000,-102.742940754062
71580000,-102.649237063103
71600000,-102.886101937657
71620000,-102.81269387797
71640000,-102.362634238519
71660000,-102.642208670231
71680000,-103.051051407346
71700000,-102.27976408412
71720000,-102.101899800453
71740000,-103.012541519897
71760000,-103.041289995263
71780000,-102.497664746174
71800000,-102.982090204556
71820000,-102.788661711583
71840000,-102.835651672913
71860000,-103.212316628185
71880000,-102.830004198853
71900000,-103.732739319596
71920000,-102.623467068666
71940000,-102.41336641205
71960000,-102.731034877321
71980000,-102.407529494266
72000000,-102.589837330688
72020000,-103.206526713237
72040000,-103.74329416659
72060000,-102.889970133762
72080000,-102.994221291525
72100000,-102.471208233281
72120000,-103.448645711196
72140000,-102.209796564674
72160000,-102.036385660659
72180000,-103.64400383875
72200000,-103.023446163566
72220000,-103.368266397624
72240000,-103.167739563262
72260000,-103.106206523909
72280000,-103.070000833471
72300000,-102.785571260696
72320000,-103.030945338854
72340000,-102.563519860083
72360000,-102.307519755761
72380000,-103.323884276868
72400000,-103.708865648567
72420000,-103.128721593912
72440000,-103.784299868163
72460000,-102.057281975959
72480000,-102.587877820947
72500000,-102.532049763753
72520000,-102.096535213633
72540000,-102.016254683979
72560000,-102.445926358972
72580000,-102.522075690723
72600000,-102.59055460007
72620000,-102.671502678806
72640000,-102.839701205511
72660000,-101.971290177556
72680000,-102.313051370422
72700000,-102.639125146115
72720000,-102.322024294583
72740000,-102.623474345682
72760000,-103.54737082637
72780000,-102.402375820454
72800000,-102.343488841359
72820000,-102.690750818114
72840000,-102.871943749144
72860000,-103.035748824557
72880000,-102.981597739045
72900000,-103.316186458701
72920000,-101.608633485779
72940000,-103.390920572414
72960000,-102.462101055663
72980000,-103.23211673849
73000000,-102.183093905317
73020000,-102.909296690757
73040000,-103.063178125576
73060000,-103.564285331719
73080000,-102.298225815662
73100000,-102.187803367255
73120000,-102.611896941241
73140000,-102.072877856107
73160000,-103.019476740055
73180000,-102.581663099521
73200000,-101.725944120271
73220000,-103.302499274422
73240000,-103.791137654537
73260000,-102.124515968627
73280000,-102.334920221958
73300000,-102.331349825808
73320000,-102.313133813071
73340000,-103.006861598985
73360000,-102.509439699018
73380000,-102.36169531748
73400000,-102.733935907617
73420000,-103.383343309367
73440000,-102.352380062205
73460000,-102.113726383639
73480000,-102.566703094429
73500000,-103.346460939409
73520000,-102.365179220319
73540000,-103.939672321876
73560000,-102.665558763283
73580000,-103.425822069463
73600000,-103.510440851215
73620000,-102.555253390418
