Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,150000000
Stop Frequency,170000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
150000000,-99.9678335661698
150020000,-99.9932171628821
150040000,-99.9011634391856
150060000,-100.12426175164
150080000,-100.028562086866
150100000,-100.083893637072
150120000,-99.8664877767485
150140000,-100.013769497881
150160000,-99.7625289115401
150180000,-100.115794442038
150200000,-99.9061377285015
150220000,-99.8563367750081
150240000,-99.7557279151134
150260000,-99.9301407987799
150280000,-100.08713105501
150300000,-100.008316361342
150320000,-99.8593069505339
150340000,-99.892677424502
150360000,-99.9291518598326
150380000,-99.9500811478804
150400000,-99.8403423126819
150420000,-99.8425110893267
150440000,-100.026787744592
150460000,-99.7443241109944
150480000,-99.9187692904494
150500000,-99.8795671894428
150520000,-99.8427978632763
150540000,-99.872590671976
150560000,-99.890010468774
150580000,-100.041201453806
150600000,-99.9822589215047
150620000,-100.102837383701
150640000,-100.020851022552
150660000,-99.8886898684437
150680000,-99.9836777048616
150700000,-99.9041780456033
150720000,-99.8595282221704
150740000,-100.057693594691
150760000,-100.313681076277
150780000,-99.8511386257628
150800000,-99.9317494021218
150820000,-100.011675394769
150840000,-100.016245197938
150860000,-99.9132459260155
150880000,-99.9447497679604
150900000,-100.030324641194
150920000,-99.8335234635877
150940000,-100.120393810874
150960000,-100.026422309675
150980000,-100.047789496616
151000000,-100.099073991571
151020000,-100.165910215013
151040000,-99.8214155084198
151060000,-100.069398414544
151080000,-99.8791204343133
151100000,-99.8786245535905
151120000,-100.042488374335
151140000,-100.033157562959
151160000,-99.7919207327924
151180000,-99.9612277672731
151200000,-99.9130256855323
151220000,-100.133426911603
151240000,-100.005638121014
151260000,-100.026403239774
151280000,-99.896683980197
151300000,-100.123157502162
151320000,-100.016865432929
151340000,-99.8356350790401
151360000,-99.9497783401635
151380000,-100.021150830596
151400000,-99.9461789274451
151420000,-99.929698453874
151440000,-99.8712774261103
151460000,-100.065519490778
151480000,-100.043826372838
151500000,-99.8632332007597
151520000,-99.8973885951752
151540000,-99.7402222549998
151560000,-99.8472113463883
151580000,-99.9863228207785
151600000,-99.9771148956299
151620000,-100.0112855452
151640000,-100.024813926488
151660000,-99.8030574657381
151680000,-99.8743494878535
151700000,-99.9416099606256
151720000,-99.8565156134446
151740000,-99.8775214607966
151760000,-100.030063694204
151780000,-100.011159563561
151800000,-99.9145251336374
151820000,-99.9087044365011
151840000,-100.031846398816
151860000,-99.7132131883131
151880000,-99.9187553547568
151900000,-99.9955477603767
151920000,-99.9028510697164
151940000,-99.9928058542905
151960000,-100.07227771728
151980000,-99.8850791429437
152000000,-100.335393369278
152020000,-100.209490512374
152040000,-100.01323072693
152060000,-100.286681879078
152080000,-100.17534886624
152100000,-100.276360098239
152120000,-100.005486466191
152140000,-100.026293153822
152160000,-100.002694179781
152180000,-100.033892979426
152200000,-100.357030292106
152220000,-100.069778477078
152240000,-100.14865763536
152260000,-100.332708453261
152280000,-100.192066029575
152300000,-100.283973752113
152320000,-100.153247266515
152340000,-100.158843927254
152360000,-100.121935456977
152380000,-100.232914273646
152400000,-100.185030034819
152420000,-100.141124857642
152440000,-100.342271652489
152460000,-100.204361987793
152480000,-100.317109990054
152500000,-100.263762175929
152520000,-100.144896640142
152540000,-100.280186137304
152560000,-100.099783728265
152580000,-100.104489782502
152600000,-100.287815478455
152620000,-100.172185125487
152640000,-100.278844231326
152660000,-100.080858537426
152680000,-100.252596271053
152700000,-100.103747220409
152720000,-100.186738382379
152740000,-100.04684960441
152760000,-100.096813041886
152780000,-100.193397845214
152800000,-100.224038364757
152820000,-100.1309576554
152840000,-100.185911314578
152860000,-100.229624349404
152880000,-100.308126476796
152900000,-100.241642288994
152920000,-100.202429278695
152940000,-100.157015962858
152960000,-100.170986392544
152980000,-100.216597008076
153000000,-99.9259654630037
153020000,-99.8582109289971
153040000,-99.938395065447
153060000,-99.8914365627216
153080000,-99.8682230133438
153100000,-99.9383478079221
153120000,-99.8522582610194
153140000,-99.7360192003446
153160000,-99.9203029206082
153180000,-99.8815588953647
153200000,-100.009736403245
153220000,-100.009780919788
153240000,-99.8073937422106
153260000,-100.082447462473
153280000,-99.9204945087097
153300000,-100.147793037899
153320000,-99.9593596069684
153340000,-99.8500230736039
153360000,-99.8512567539546
153380000,-99.9346888902617
153400000,-99.7821064313065
153420000,-100.000776969903
153440000,-99.8807436569472
153460000,-99.7495044410566
153480000,-99.9720298120056
