Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,310000000
Stop Frequency,330000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
310000000,-100.427216365527
310020000,-100.476321454765
310040000,-100.329154813287
310060000,-100.218282590117
310080000,-100.477223093754
310100000,-100.411982124935
310120000,-100.305212374577
310140000,-100.388831125327
310160000,-100.564950883403
310180000,-100.250638075137
310200000,-100.393892590414
310220000,-100.407924730216
310240000,-100.508462983175
310260000,-100.454358393601
310280000,-100.414442356523
310300000,-100.424094731897
310320000,-100.68284693198
310340000,-100.374169927891
310360000,-100.415581618081
310380000,-100.314126703345
310400000,-100.375142405029
310420000,-100.262938217634
310440000,-100.320106565649
310460000,-100.325163748513
310480000,-100.465860535391
310500000,-100.498091326174
310520000,-100.326081041359
310540000,-100.341907795938
310560000,-100.152317710366
310580000,-100.32788035357
310600000,-100.341022754801
310620000,-100.45576464511
310640000,-100.469099482087
310660000,-100.469262155248
310680000,-100.310175176789
310700000,-100.50675516746
310720000,-100.33203709051
310740000,-100.29417254406
310760000,-100.474955959266
310780000,-100.269923894219
310800000,-100.359263433054
310820000,-100.297517524967
310840000,-100.436949790078
310860000,-100.393815271362
310880000,-100.514609367581
310900000,-100.319952632958
310920000,-100.335557406179
310940000,-100.412345816237
310960000,-100.337085732505
310980000,-100.383152776833
311000000,-100.654672622079
311020000,-100.464715290617
311040000,-100.432501126964
311060000,-100.40405686509
311080000,-100.450694650466
311100000,-100.3490804865
311120000,-100.487597543739
311140000,-100.321900656795
311160000,-100.470410151161
311180000,-100.454334319825
311200000,-100.455459605304
311220000,-100.453034276846
311240000,-100.555270013181
311260000,-100.540763592358
311280000,-100.332522252263
311300000,-100.455821693408
311320000,-100.329605442067
311340000,-100.378754012826
311360000,-100.356401248028
311380000,-100.266728898595
311400000,-100.510647954524
311420000,-100.308215660742
311440000,-100.402484688201
311460000,-100.450710238537
311480000,-100.264381191886
311500000,-100.170857759993
311520000,-100.546217878027
311540000,-100.438136842189
311560000,-100.352811508336
311580000,-100.331657285893
311600000,-100.393308523604
311620000,-100.325730293052
311640000,-100.372171760677
311660000,-100.416961404918
311680000,-100.475681790033
311700000,-100.446134716952
311720000,-100.454600291507
311740000,-100.394706777269
311760000,-100.450914247519
311780000,-100.356365522614
311800000,-100.690112248752
311820000,-100.444426645159
311840000,-100.222311016135
311860000,-100.511169106872
311880000,-100.346085948219
311900000,-100.314512499033
311920000,-100.422845210857
311940000,-100.391882038782
311960000,-100.320940479868
311980000,-100.515893863672
312000000,-100.460940049062
312020000,-100.201927825553
312040000,-100.463805624212
312060000,-100.470345972238
312080000,-100.276007898304
312100000,-100.315389360036
312120000,-100.453356943425
312140000,-100.315889526882
312160000,-100.29189919582
312180000,-100.353699394048
312200000,-100.356927470321
312220000,-100.440351017817
312240000,-100.394971519887
312260000,-100.368218555652
312280000,-100.625668965073
312300000,-100.449015220879
312320000,-100.386559150881
312340000,-100.273431866709
312360000,-100.421168867222
312380000,-100.311749349648
312400000,-100.264419482751
312420000,-100.237082954516
312440000,-100.293840951433
312460000,-100.53314683037
312480000,-100.302306245201
312500000,-100.478948772228
312520000,-100.485131733211
312540000,-100.068878567009
312560000,-100.478345354803
312580000,-100.306652216062
312600000,-100.251248665808
312620000,-100.388702269683
312640000,-100.37198591002
312660000,-100.423923894178
312680000,-100.580948070518
312700000,-100.437743589648
312720000,-100.482289371584
312740000,-100.362417315021
312760000,-100.279860777506
312780000,-100.519396414533
312800000,-100.506253898593
312820000,-100.465603698788
312840000,-100.269687839048
312860000,-100.250750381961
312880000,-100.327877147777
312900000,-100.413397540987
312920000,-100.298392013659
312940000,-100.413922530035
312960000,-100.527430195717
312980000,-100.48459385542
313000000,-100.205422042004
313020000,-100.257363042924
313040000,-100.389854424079
313060000,-100.295851152466
313080000,-100.529632759656
313100000,-100.564193937776
313120000,-100.221155017682
313140000,-100.322452014163
313160000,-100.356693405232
313180000,-100.368258210741
313200000,-100.26168092931
313220000,-100.510540400509
313240000,-100.293604316728
313260000,-100.382818357281
313280000,-100.325710232727
313300000,-100.196121086133
313320000,-100.406746674618
313340000,-100.370383467818
313360000,-100.531535802448
313380000,-100.566091577289
313400000,-100.275310075249
313420000,-100.446178198445
313440000,-100.248772364545
313460000,-100.438593052006
313480000,-100.178251465376
313500000,-100.476783440392
313520000,-100.435324018061
313540000,-100.468134621468
313560000,-100.261503747611
313580000,-100.300171835583
313600000,-100.316473539656
313620000,-100.262535009371
