Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,150000000
Stop Frequency,170000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
150000000,-101.833209055775
150020000,-102.43859953531
150040000,-101.954209720555
150060000,-102.694168915948
150080000,-103.224846564758
150100000,-102.035141348594
150120000,-102.712077531364
150140000,-102.991724059119
150160000,-103.090517327344
150180000,-101.835085488862
150200000,-101.718672744296
150220000,-101.440109302543
150240000,-102.606356605666
150260000,-102.201763650804
150280000,-101.888766069167
150300000,-102.763593152144
150320000,-103.212863945109
150340000,-102.320099411206
150360000,-102.856063752143
150380000,-102.590770352093
150400000,-102.748671322837
150420000,-101.639274501922
150440000,-102.442520436379
150460000,-102.819092491203
150480000,-102.404056596674
150500000,-101.542168830838
150520000,-102.216689244488
150540000,-102.274169331415
150560000,-102.758830001026
150580000,-102.212767526565
150600000,-101.472494893788
150620000,-102.616463966003
150640000,-102.2726303881
150660000,-101.083630647419
150680000,-102.919159810124
150700000,-101.858057153147
150720000,-101.747359356087
150740000,-101.825414300969
150760000,-102.989373129042
150780000,-102.518359919462
150800000,-102.137541870086
150820000,-102.955603145566
150840000,-102.672814096899
150860000,-102.801008358979
150880000,-102.602611302107
150900000,-102.444994919949
150920000,-102.400129475067
150940000,-102.474983068709
150960000,-103.332708324581
150980000,-102.128979190406
151000000,-101.937347822951
151020000,-101.52955499431
151040000,-102.407180339697
151060000,-102.132706096298
151080000,-101.909529180448
151100000,-102.321756180187
151120000,-102.133972206983
151140000,-102.902817221158
151160000,-102.383817998581
151180000,-101.800346048556
151200000,-102.125201152379
151220000,-102.869094495903
151240000,-102.827575912558
151260000,-102.672118888963
151280000,-102.951308844826
151300000,-102.063379633568
151320000,-102.18905235508
151340000,-102.845578208778
151360000,-102.651558371297
151380000,-101.660113336053
151400000,-102.066131618289
151420000,-102.084231364122
151440000,-102.628902455355
151460000,-103.034941365286
151480000,-102.737029756338
151500000,-101.512243466226
151520000,-102.222636581749
151540000,-102.403485874953
151560000,-102.386074526084
151580000,-102.707888320692
151600000,-102.106815370015
151620000,-102.153510172306
151640000,-102.599451323427
151660000,-102.164606279551
151680000,-101.411825189521
151700000,-102.204879084382
151720000,-101.954134577237
151740000,-102.295028746589
151760000,-102.802069713706
151780000,-102.411208195767
151800000,-101.869723737671
151820000,-102.492231023164
151840000,-102.271019317987
151860000,-102.684945394235
151880000,-102.660803646665
151900000,-102.201132085041
151920000,-102.809793568012
151940000,-102.228211482272
151960000,-102.804529411535
151980000,-101.764446367099
152000000,-102.794473108086
152020000,-103.338866939325
152040000,-102.665024137623
152060000,-102.672373627617
152080000,-102.4393192317
152100000,-102.868648083097
152120000,-102.391331135098
152140000,-102.647566681419
152160000,-102.109909621417
152180000,-101.701392366352
152200000,-102.56619850067
152220000,-102.731055509096
152240000,-103.115728705036
152260000,-102.819789467511
152280000,-102.455668141614
152300000,-103.080327482435
152320000,-103.284185089414
152340000,-103.244166975179
152360000,-102.802243966048
152380000,-103.108052505388
152400000,-103.286391879218
152420000,-102.74878172398
152440000,-102.529664558034
152460000,-103.029089559646
152480000,-102.242559283758
152500000,-102.714565132263
152520000,-102.502927150239
152540000,-103.172704179047
152560000,-102.347113425648
152580000,-102.72932340372
152600000,-101.790514074557
152620000,-102.557345069152
152640000,-102.811129664438
152660000,-102.742817281864
152680000,-102.615201659266
152700000,-102.188884691727
152720000,-103.445457101624
152740000,-103.152265219796
152760000,-101.759991431824
152780000,-102.712454282256
152800000,-102.602175965098
152820000,-103.899735899376
152840000,-101.935515999082
152860000,-102.437247763857
152880000,-102.652320508702
152900000,-102.614693487374
152920000,-102.270275172807
152940000,-102.246940741006
152960000,-103.051149145177
152980000,-102.639472714505
153000000,-102.588337060261
153020000,-102.579230927955
153040000,-103.108480574412
153060000,-100.947703267667
153080000,-101.875358424118
153100000,-102.666446274949
153120000,-102.945135526666
153140000,-102.482388544209
153160000,-103.028204140659
153180000,-101.93970217581
153200000,-102.095594565005
153220000,-102.857418929844
153240000,-102.399967923429
153260000,-101.910290327494
153280000,-101.877779270168
153300000,-102.89422712276
153320000,-102.103274934489
153340000,-102.277314715384
153360000,-102.02100980152
153380000,-101.879828127673
153400000,-102.063052478953
153420000,-102.269411719602
153440000,-101.853022442994
153460000,-101.340571612248
153480000,-102.03220025826
153500000,-102.890841291712
153520000,-102.541240818934
153540000,-101.85910865343
153560000,-102.556073075234
153580000,-102.227533674062
153600000,-101.990369179455
153620000,-101.796808000799
