Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,1270000000
Stop Frequency,1290000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1270000000,-100.050677804637
1270020000,-100.474497161999
1270040000,-100.768465065648
1270060000,-101.132799820975
1270080000,-101.186452950011
1270100000,-101.716492116714
1270120000,-100.028494941527
1270140000,-101.145534347208
1270160000,-100.104154033393
1270180000,-100.958529503582
1270200000,-101.329540717095
1270220000,-100.195651851289
1270240000,-101.522660208921
1270260000,-100.714842771328
1270280000,-101.192941356545
1270300000,-100.878842343831
1270320000,-100.103275594088
1270340000,-100.548821730633
1270360000,-100.433809420228
1270380000,-100.191095701966
1270400000,-101.411733369846
1270420000,-100.029363327182
1270440000,-101.929509786031
1270460000,-99.7507929341338
1270480000,-100.187795467406
1270500000,-100.572706538783
1270520000,-100.649878151883
1270540000,-100.224203075238
1270560000,-100.531731355825
1270580000,-100.040196979781
1270600000,-100.220023852512
1270620000,-100.573872419275
1270640000,-100.24823105512
1270660000,-101.241397643372
1270680000,-101.059300130228
1270700000,-100.033611379158
1270720000,-100.565423390689
1270740000,-100.620132682602
1270760000,-100.79977095482
1270780000,-101.285602161101
1270800000,-99.7985399732574
1270820000,-100.175642983365
1270840000,-100.377611556409
1270860000,-100.898088677065
1270880000,-100.051042332613
1270900000,-101.016635525756
1270920000,-101.078304176627
1270940000,-99.4588632881864
1270960000,-101.162223970995
1270980000,-99.7884729718088
1271000000,-101.321395370346
1271020000,-99.701954481906
1271040000,-100.087714255594
1271060000,-100.511571333059
1271080000,-101.597265333355
1271100000,-100.264044584573
1271120000,-100.192372672226
1271140000,-100.723637742268
1271160000,-101.42136162574
1271180000,-100.88967420032
1271200000,-100.706445084093
1271220000,-99.9819513534719
1271240000,-100.364882119454
1271260000,-99.6641331935132
1271280000,-101.231437465706
1271300000,-100.961980194596
1271320000,-101.309491784097
1271340000,-100.841890813247
1271360000,-101.222068011728
1271380000,-100.123164541222
1271400000,-99.7733823113075
1271420000,-102.360675881932
1271440000,-101.489375511412
1271460000,-101.149796569292
1271480000,-101.322739523271
1271500000,-99.9395773584496
1271520000,-101.4061312362
1271540000,-100.137619323684
1271560000,-100.413971939349
1271580000,-102.691149685224
1271600000,-101.121386172104
1271620000,-100.718682638033
1271640000,-99.6664577946788
1271660000,-101.247379023964
1271680000,-102.129007268389
1271700000,-100.087044649007
1271720000,-100.698295196928
1271740000,-100.542111394372
1271760000,-101.28751348772
1271780000,-100.473208192453
1271800000,-100.588118768354
1271820000,-100.538531976166
1271840000,-100.956561297756
1271860000,-100.288723161464
1271880000,-101.050514639455
1271900000,-100.932918502011
1271920000,-100.589982470746
1271940000,-100.526948461929
1271960000,-101.348450862572
1271980000,-101.302070279118
1272000000,-100.089968780262
1272020000,-100.017448165603
1272040000,-100.870258251528
1272060000,-100.794701168598
1272080000,-100.106418736615
1272100000,-102.086588393446
1272120000,-101.228471198837
1272140000,-101.668170719456
1272160000,-101.701605873419
1272180000,-100.772348565026
1272200000,-100.191681586186
1272220000,-102.120136982148
1272240000,-99.3947426811111
1272260000,-101.572037594907
1272280000,-100.216882606377
1272300000,-101.66714139974
1272320000,-101.463543428029
1272340000,-99.953773738331
1272360000,-101.110136351127
1272380000,-100.727009550383
1272400000,-100.846182497893
1272420000,-99.9600204068907
1272440000,-100.347477585203
1272460000,-101.119019709755
1272480000,-100.690685365866
1272500000,-99.9539326018514
1272520000,-101.399646122834
1272540000,-99.3823524506499
1272560000,-100.246007066115
1272580000,-101.30590051613
1272600000,-101.139739746398
1272620000,-100.010056672048
1272640000,-100.308400107616
1272660000,-101.371631786725
1272680000,-101.894862474881
1272700000,-99.9035956735944
1272720000,-99.8414480871915
1272740000,-99.6141053108
1272760000,-100.350794060412
1272780000,-99.8644839185985
1272800000,-102.093247912595
1272820000,-100.019317506134
1272840000,-101.222622786801
1272860000,-100.62588704419
1272880000,-101.953517783517
1272900000,-100.457591371528
1272920000,-100.992232390766
1272940000,-100.342763944512
1272960000,-100.171492100857
1272980000,-100.853260380867
1273000000,-100.890976766491
1273020000,-99.9947811281573
1273040000,-101.732806585392
1273060000,-102.240760631935
1273080000,-100.064797347538
1273100000,-100.942898762356
1273120000,-100.42499803449
1273140000,-100.921013668513
1273160000,-100.745328572836
1273180000,-100.897770650971
1273200000,-100.746056680591
1273220000,-100.150980622502
1273240000,-100.050037910421
1273260000,-101.40335603972
1273280000,-100.198609960901
1273300000,-99.5305643640432
