Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,70000000
Stop Frequency,90000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
70000000,-100.248362224213
70020000,-100.35084566574
70040000,-100.341092876535
70060000,-100.342105824965
70080000,-100.343317166799
70100000,-100.325350316564
70120000,-100.53961355791
70140000,-100.266827016906
70160000,-100.283032845938
70180000,-100.294363075768
70200000,-100.414073596095
70220000,-100.503194437396
70240000,-100.183820028576
70260000,-100.377963120291
70280000,-100.439418398225
70300000,-100.389659051431
70320000,-100.300350198935
70340000,-100.273808993703
70360000,-100.49772275675
70380000,-100.515227630248
70400000,-100.35799615211
70420000,-100.364762675006
70440000,-100.096161972385
70460000,-100.171961910759
70480000,-100.454713991584
70500000,-100.428158801634
70520000,-100.651410036417
70540000,-100.246003342332
70560000,-100.262021449706
70580000,-100.252042685907
70600000,-100.276127929473
70620000,-100.2017862555
70640000,-100.325462389695
70660000,-100.411812762538
70680000,-100.310225462366
70700000,-100.339804542602
70720000,-100.362543970428
70740000,-100.189337390966
70760000,-100.542876576561
70780000,-100.25657103797
70800000,-100.345782231996
70820000,-100.44884562875
70840000,-100.478526305298
70860000,-100.250105275573
70880000,-100.272435262892
70900000,-100.447495416604
70920000,-100.184629096592
70940000,-100.268026051969
70960000,-100.366728694716
70980000,-100.202063644445
71000000,-100.358527995507
71020000,-100.41020614129
71040000,-100.453514250052
71060000,-100.242274156414
71080000,-100.179455696648
71100000,-100.226107985797
71120000,-100.266685644242
71140000,-100.353068867336
71160000,-100.26261994722
71180000,-100.185968976287
71200000,-100.31512986709
71220000,-100.34904683292
71240000,-100.496928015762
71260000,-100.136499380173
71280000,-100.077583897886
71300000,-100.410473360238
71320000,-100.373574507854
71340000,-100.252848313915
71360000,-100.380758646311
71380000,-100.149396866061
71400000,-100.115576440784
71420000,-100.178163624733
71440000,-100.224592367435
71460000,-100.157640634712
71480000,-100.199630077402
71500000,-100.507707565965
71520000,-100.341350889209
71540000,-100.369494160867
71560000,-100.221703638901
71580000,-100.386520371723
71600000,-100.414489328779
71620000,-100.208605000925
71640000,-100.270822256505
71660000,-100.322744231495
71680000,-100.330821238322
71700000,-100.469874422972
71720000,-100.239550775971
71740000,-100.398791497873
71760000,-100.170068425441
71780000,-100.508100448189
71800000,-100.322921897829
71820000,-100.377670444599
71840000,-100.282199183895
71860000,-100.294274297558
71880000,-100.318466842563
71900000,-100.481278963422
71920000,-100.247548217956
71940000,-100.369532918422
71960000,-100.408925577091
71980000,-100.45002770822
72000000,-100.274010448363
72020000,-100.241140489701
72040000,-100.240087131072
72060000,-100.347957063844
72080000,-100.212137798758
72100000,-100.36535286793
72120000,-100.247404663567
72140000,-100.26826174088
72160000,-100.314968816053
72180000,-100.407117593546
72200000,-100.161050933638
72220000,-100.601611597941
72240000,-100.24403550791
72260000,-100.312140459585
72280000,-100.251600201583
72300000,-100.212158118627
72320000,-100.467838091301
72340000,-100.341272147671
72360000,-100.215791261651
72380000,-100.414740171861
72400000,-100.479356869063
72420000,-100.32875481178
72440000,-100.34660839021
72460000,-100.317039611948
72480000,-100.015242541329
72500000,-100.357698543989
72520000,-100.390838656875
72540000,-100.457046331439
72560000,-100.268465187129
72580000,-100.224747369744
72600000,-100.205955154094
72620000,-100.33277326888
72640000,-100.310434567251
72660000,-100.177121628429
72680000,-100.26392015686
72700000,-100.319464374087
72720000,-100.179694221068
72740000,-100.193867448279
72760000,-100.260626817482
72780000,-100.182320771874
72800000,-100.263548115757
72820000,-100.376577626593
72840000,-100.451602531925
72860000,-100.27871665752
72880000,-100.210935075913
72900000,-100.058146164313
72920000,-100.163713376609
72940000,-100.266523238951
72960000,-100.380503396062
72980000,-100.323576766312
73000000,-100.307807522815
73020000,-100.195444126845
73040000,-100.237797878544
73060000,-100.369602241806
73080000,-100.27242551944
73100000,-100.252407704476
73120000,-100.425873730922
73140000,-100.370832573059
73160000,-100.374905578187
73180000,-100.338317674414
73200000,-100.339272579902
73220000,-100.454124993043
73240000,-100.382463590919
73260000,-100.332035404379
73280000,-100.270115923876
73300000,-100.189156273618
73320000,-100.439491342658
73340000,-100.239500209279
73360000,-100.348254305689
73380000,-100.322684746296
73400000,-100.381995173196
73420000,-100.339527038292
73440000,-100.164348580199
73460000,-100.364504961477
73480000,-100.346153996674
73500000,-100.418533789127
73520000,-100.332143194006
73540000,-100.229486820358
73560000,-100.431911367175
73580000,-100.305442634611
73600000,-100.205602451445
73620000,-100.440009777255
