Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,2.0272666666
Start Frequency,1270000000
Stop Frequency,1290000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1270000000,-98.1532903165353
1270020000,-98.2649471493128
1270040000,-98.3257811308272
1270060000,-98.0628471015444
1270080000,-98.2145599270479
1270100000,-98.3140393885646
1270120000,-98.1283806047291
1270140000,-98.1752047465366
1270160000,-98.4806485000867
1270180000,-98.2937269131525
1270200000,-98.1386659558137
1270220000,-98.3049244698825
1270240000,-98.3217884644836
1270260000,-98.1226999580668
1270280000,-98.1823209940887
1270300000,-98.2161430293766
1270320000,-98.3122709437783
1270340000,-98.4640358209898
1270360000,-98.3409944795586
1270380000,-98.2174192597817
1270400000,-98.1220846737664
1270420000,-98.3724215915101
1270440000,-98.2471878955809
1270460000,-98.2220175650554
1270480000,-98.2841577649217
1270500000,-98.4108839243729
1270520000,-98.13136309838
1270540000,-98.4515495791634
1270560000,-98.3297653844116
1270580000,-98.281450839187
1270600000,-98.2387315755725
1270620000,-98.1553774563767
1270640000,-98.1191370081038
1270660000,-98.3834819405983
1270680000,-98.2608461583051
1270700000,-98.0984028816698
1270720000,-98.226925142601
1270740000,-98.0795338508963
1270760000,-98.3892699644513
1270780000,-98.202021537908
1270800000,-98.3565988508063
1270820000,-98.2492945753247
1270840000,-98.2042405148249
1270860000,-98.1392524048727
1270880000,-98.1325166629536
1270900000,-98.0128099747585
1270920000,-98.2934473296798
1270940000,-98.2355408546905
1270960000,-98.3042943999546
1270980000,-98.2527431815731
1271000000,-98.2753109386144
1271020000,-98.1713942001585
1271040000,-98.1544384080358
1271060000,-98.1051861194599
1271080000,-98.1527381087138
1271100000,-98.137093545721
1271120000,-98.1782731406978
1271140000,-98.1792540112371
1271160000,-98.2173469766202
1271180000,-98.1759296887334
1271200000,-98.1826870449774
1271220000,-98.1085800049459
1271240000,-98.355456221051
1271260000,-98.1092937820024
1271280000,-98.2163281965671
1271300000,-98.2185939378933
1271320000,-98.2538181811574
1271340000,-98.3784944117373
1271360000,-98.2204984326112
1271380000,-98.2416547580799
1271400000,-98.1324421463868
1271420000,-98.286381663302
1271440000,-98.4397321114588
1271460000,-98.1611443899222
1271480000,-98.1020515957324
1271500000,-98.3210232905644
1271520000,-98.1715169529217
1271540000,-98.2378997880832
1271560000,-98.1324280941222
1271580000,-98.2757702399954
1271600000,-98.4242003004132
1271620000,-98.2509082517603
1271640000,-98.2118932722692
1271660000,-98.1131312843143
1271680000,-98.3149486851887
1271700000,-98.2266640899184
1271720000,-98.2494492787072
1271740000,-98.1696994357825
1271760000,-97.9936590087942
1271780000,-98.0521744147803
1271800000,-98.2826304799474
1271820000,-98.1789407700772
1271840000,-98.4733940313459
1271860000,-98.2119432320337
1271880000,-98.3184303492514
1271900000,-98.3524216754617
1271920000,-98.2194390715865
1271940000,-98.3921949016946
1271960000,-98.1644451768342
1271980000,-98.132972952456
1272000000,-98.4619473701325
1272020000,-98.2321645399473
1272040000,-98.2183251617295
1272060000,-98.3249212915671
1272080000,-98.198966761917
1272100000,-98.248428280282
1272120000,-98.1634489680609
1272140000,-98.0845829271464
1272160000,-98.272691151687
1272180000,-98.1058015628878
1272200000,-98.1669873797979
1272220000,-98.1069018198693
1272240000,-98.0182743148654
1272260000,-98.1943955493667
1272280000,-98.2005152562113
1272300000,-98.2055341284492
1272320000,-98.1357975079276
1272340000,-98.2192943340362
1272360000,-98.2522371209844
1272380000,-98.2528548828004
1272400000,-98.2541520419332
1272420000,-98.122256004318
1272440000,-98.3886039121307
1272460000,-98.0778179431983
1272480000,-98.348197734899
1272500000,-98.0599178958866
1272520000,-98.2058828537286
1272540000,-98.1120401397382
1272560000,-97.9886807559212
1272580000,-98.2713611448732
1272600000,-98.3411732802644
1272620000,-98.2064744958334
1272640000,-98.3946962594698
1272660000,-98.1868230098057
1272680000,-98.3669154737663
1272700000,-98.1977831985525
1272720000,-98.0658388155654
1272740000,-98.1117566579356
1272760000,-98.2612952885135
1272780000,-98.1183862125264
1272800000,-98.277283684282
1272820000,-98.3231141818819
1272840000,-98.2770993967815
1272860000,-98.2985016067884
1272880000,-98.1836989974375
1272900000,-98.1047554720394
1272920000,-98.2293746676696
1272940000,-98.222897922869
1272960000,-98.0764135898288
1272980000,-98.3594791453963
1273000000,-98.0904257591352
1273020000,-98.2021978609425
1273040000,-98.256856580848
1273060000,-98.2590072000482
1273080000,-98.1936520436392
1273100000,-98.1926250583652
1273120000,-98.0751912223298
