Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.7626
Start Frequency,310000000
Stop Frequency,330000000
Average Count,0
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
310000000,-103.355721611561
310020000,-104.085278832299
310040000,-103.346995974669
310060000,-102.283339510727
310080000,-102.037775495253
310100000,-102.268201456367
310120000,-102.355781388371
310140000,-102.661194913749
310160000,-103.651115143711
310180000,-102.906438728665
310200000,-103.243103359171
310220000,-102.830514728725
310240000,-102.480616909048
310260000,-103.303097602908
310280000,-102.850846284422
310300000,-102.389957062406
310320000,-103.388420895641
310340000,-103.063022282699
310360000,-103.691565068275
310380000,-102.557768073272
310400000,-103.101874408845
310420000,-103.246713456822
310440000,-102.381181832568
310460000,-102.628808160536
310480000,-102.237154187116
310500000,-102.876032280845
310520000,-102.037545970262
310540000,-103.523296950858
310560000,-102.610200277038
310580000,-102.909012784435
310600000,-104.084402759613
310620000,-103.756703220404
310640000,-103.864369107122
310660000,-102.494802609886
310680000,-104.086905420182
310700000,-102.417030324912
310720000,-102.779174884825
310740000,-103.316604762212
310760000,-103.384230759862
310780000,-102.117847603696
310800000,-103.14224400757
310820000,-103.278935513353
310840000,-103.608603064799
310860000,-103.642130089564
310880000,-102.804322740831
310900000,-102.584502695483
310920000,-101.721479458062
310940000,-102.774901481002
310960000,-103.884451016831
310980000,-102.28316992841
311000000,-102.694237461588
311020000,-102.940189296666
311040000,-103.337096982944
311060000,-101.946826200981
311080000,-103.808216876484
311100000,-103.47082732255
311120000,-101.829925317873
311140000,-102.868508532063
311160000,-102.409641387227
311180000,-103.188634854299
311200000,-103.58324161431
311220000,-102.439113362835
311240000,-103.439863313968
311260000,-103.528635480891
311280000,-103.471845771306
311300000,-102.875168231077
311320000,-102.982253507884
311340000,-102.313549431456
311360000,-102.141939729104
311380000,-102.686597057849
311400000,-101.303606255718
311420000,-102.046991945795
311440000,-102.275422793146
311460000,-103.386937826001
311480000,-102.647980058203
311500000,-103.04624566818
311520000,-105.428173761616
311540000,-102.81164129934
311560000,-103.227805098072
311580000,-101.696461131829
311600000,-101.44558263355
311620000,-102.47071863111
311640000,-101.862555319594
311660000,-103.276434696083
311680000,-102.825865973852
311700000,-103.009240158469
311720000,-103.365315833521
311740000,-102.37218115335
311760000,-103.510703779774
311780000,-101.662907011519
311800000,-103.197849057781
311820000,-103.293882344483
311840000,-102.029408105189
311860000,-102.573292171828
311880000,-102.063465168178
311900000,-102.329352077558
311920000,-103.995805262054
311940000,-103.339058458197
311960000,-102.226973434008
311980000,-101.430002148182
312000000,-102.294733408803
312020000,-101.466869358826
312040000,-102.185454081346
312060000,-101.753047588588
312080000,-101.758948689772
312100000,-103.134579882074
312120000,-103.220824802113
312140000,-103.942408272802
312160000,-102.821364724209
312180000,-102.931693929853
312200000,-103.121801152811
312220000,-103.122572320021
312240000,-103.107255863408
312260000,-101.959468761967
312280000,-102.63624075059
312300000,-102.991901504512
312320000,-101.817936651763
312340000,-102.621938546958
312360000,-102.258390101768
312380000,-102.280058205901
312400000,-102.340992936995
312420000,-101.438725984346
312440000,-103.417935400784
312460000,-102.47319561244
312480000,-102.502879238407
312500000,-102.891413061875
312520000,-103.339318327069
312540000,-103.784243704147
312560000,-103.430464765569
312580000,-103.837500299435
312600000,-103.833047232414
312620000,-102.561179852981
312640000,-103.304244922185
312660000,-103.296547926327
312680000,-103.473679433939
312700000,-103.7194049484
312720000,-103.29012922417
312740000,-102.64856476167
312760000,-102.671232448526
312780000,-102.171495572361
312800000,-102.795289676673
312820000,-103.092295670821
312840000,-101.789761847853
312860000,-103.593252165635
312880000,-102.934072415151
312900000,-103.570200993063
312920000,-102.549719238399
312940000,-103.032496738585
312960000,-102.46908832898
312980000,-103.70362747695
313000000,-103.284951101593
313020000,-103.316747053314
313040000,-102.670920219203
313060000,-102.8512767956
313080000,-102.528315180968
313100000,-101.320025034717
313120000,-103.589981003143
313140000,-102.489117709522
313160000,-103.299814922955
313180000,-103.942091877614
313200000,-103.565341396462
313220000,-103.109982221181
313240000,-102.538313109075
313260000,-102.760746460088
313280000,-103.582910584757
313300000,-103.894231357898
313320000,-103.18052719889
313340000,-102.33821634956
313360000,-103.152798733577
313380000,-103.635349913146
313400000,-102.588200045839
313420000,-102.948556952553
313440000,-104.08864496324
313460000,-103.215611090222
313480000,-102.858399622294
313500000,-103.137809188509
313520000,-104.537864147341
313540000,-103.128921914519
313560000,-102.721090068702
313580000,-102.300489968104
313600000,-103.529088199891
313620000,-102.5322380896
